losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260443.086186,0.00017357911565341055,-0.0031266044825315475,384.6056308746338,210816,2324,0.00013602471153717488,-0.09036827087402344,588.0,0.5398561954498291,0.00013263151049613953,-0.001631021499633789,
0.0,,1763260443.6888967,0.00017327189561910927,0.0038075363263487816,385.20834159851074,211328,2329,9.13604162633419e-05,-0.31684935092926025,588.0,0.4350890815258026,0.0015102466568350792,-0.00778154656291008,
0.0,,1763260444.9012117,0.0001726574555505067,0.001386553980410099,386.4206566810608,212352,2339,0.00014390729484148324,0.07205992937088013,589.0,0.5323938727378845,6.338860839605331e-05,0.0024355389177799225,
0.0,,1763260445.2851424,0.00017242704052478075,0.035059936344623566,386.8045873641968,212736,2343,0.0001700034481473267,0.4742080569267273,590.0,0.4842892587184906,0.003253718838095665,-0.02105114236474037,
0.0,,1763260445.849626,0.00017211982049047947,0.0012958459556102753,387.3690710067749,213248,2348,0.00039335439214482903,0.03195542097091675,590.0,0.43398553133010864,0.0001318361610174179,-0.0028135478496551514,
0.0,500.0,1763260446.5170882,0.00017173579544760287,0.0013727499172091484,388.0365331172943,213888,2354,318.3485412597656,6.723403930664062e-05,591.0,0.48723819851875305,3.3319927752017975e-05,0.00027609989047050476,500.0
,500.0,1763260447.537896,,,389.0573408603668,214888,2363,,,,,,,500.0
0.0,,1763260450.5580535,0.0001695852552074939,-0.00014244765043258667,392.0774984359741,217472,2389,610.3704833984375,-3.4689903259277344e-05,594.0,0.531093418598175,0.0001943577080965042,0.0014125853776931763,
0.0,,1763260451.1483276,0.00016927803517319262,-6.731320172548294e-05,392.6677725315094,217984,2394,385.202880859375,-0.0003063678741455078,595.0,0.5410963892936707,2.85441055893898e-05,-0.0006088912487030029,
0.0,,1763260452.9264233,0.00016835637507028878,0.0018952833488583565,394.4458682537079,219520,2409,0.006192642729729414,0.01760333776473999,596.0,0.5728364586830139,3.496091812849045e-05,-0.00015492737293243408,
0.0,,1763260455.0114865,0.0001672811049502343,-0.0059595732018351555,396.5309314727783,221312,2426,0.00017680808377917856,-0.3074362277984619,597.0,0.49682438373565674,0.0023351600393652916,-0.017513569444417953,
